A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
2340,-163.835.024,-1.963.474.387,-1.887.763.957,16.620.155,460.578.839,2.524.150.425,869.982.944,bad
2341,4.303.296.779,103.930.716,-1.804.378.149,4.803.848.062,3.562.605.279,-1.893.925.123,2.502.066.301,good
2342,-365.281.129,-1.461.039.892,1.398.050.916,1.807.961.186,-1.560.345.485,-314.939.391,260.775.943,bad
2343,1.300.293.491,-519.281.049,430.921.426,1.241.763.305,-1.465.792.203,1.784.157.992,-180.916.277,good
2344,-982.920.666,-3.102.776.576,-3.612.113.188,1.020.610.856,-245.441,4.887.297.371,-523.976.498,bad
2345,-164.358.007,-3.281.920.094,-815.664.297,645.558.081,-2.636.687.462,63.338.743,-3.552.345.851,bad
2346,1.709.782.759,-1.418.567.187,-866.080.113,1.208.107.197,2.080.326.443,-975.313.198,2.256.195.514,good
2347,-151.594.954,341.179.176,509.599.206,820.072.323,1.927.415.205,-3.528.168.839,1.610.284.105,good
2348,146.860.505,-1.283.878.832,-136.293.346,651.485.519,-595.226.245,1.282.650.346,-508.210.454,bad
2349,-1.890.719.846,-3.248.342.069,36.066.911,1.238.127.273,1.544.617.186,1.238.559.135,-1.487.521.965,good
2350,-1.313.893.834,-2.386.817.845,2.505.231.799,1.339.162.226,3.790.206.269,221.429.828,-2.583.858.134,good
2351,1.254.202.064,620.343.539,-987.542.059,2.381.111.335,657.659.364,-1.376.908.057,2.114.409.958,good
2352,-1.965.285.243,-1.376.076.437,1.349.820.352,-303.674.899,379.199.725,-3.949.413.841,1.224.928.763,good
2353,5.561.578,-2.989.310.888,181.923.298,1.342.116.778,-3.416.238,-1.757.822.966,206.975.851,good
2354,-744.412.789,-2.804.833.529,2.073.095.987,1.440.366.058,2.897.073.263,1.051.072.277,-899.930.932,good
2355,-520.723.107,-746.561.488,-916.918.909,1.186.931.888,57.479.025,-93.299.852,777.769.952,bad
2356,2.598.783.686,-2.080.573.622,-2.581.655.401,3.521.801.047,-862.974.852,127.279.151,-404.411.056,good
2357,-3.206.681.896,-1.716.681.267,-82.223.498,122.756.513,-1.268.323.477,676.231.709,-2.450.416.593,bad
2358,-3.357.879.901,-40.058.288,694.949.702,445.514.942,3.151.831.289,675.475.162,2.650.961.932,bad
2359,311.369.933,-281.797.516,-3.218.157.238,-791.117.838,2.272.855.316,3.153.151.687,-22.261.528,bad
2360,-26.141.405,-209.785.276,-971.961.014,2.442.559.424,-1.016.647.385,1.086.074.933,-1.916.873.036,bad
2361,2.174.107.807,-4.515.358.166,-2.257.283.497,-876.035.283,-663.552.988,2.720.567.632,1.505.616.743,good
2362,1.435.789.704,-2.259.885.098,-1.584.403.389,1.229.457.524,-2.164.487.386,791.142.963,-179.884.063,bad
2363,-984.528.198,-2.011.152.771,532.581.503,218.816.952,1.686.125.163,184.331.968,2.204.141.635,bad
2364,507.763.126,-1.522.654.059,-585.707.825,1.680.467.214,-628.317.574,-934.870.838,1.078.184.946,good
2365,-42.835.413,-1.950.528.409,-3.013.526.825,360.052.062,-4.378.330.514,637.951.422,-780.995.024,bad
2366,-1.146.725.316,-548.734.161,-298.044.781,1.167.566.885,-10.334.691,-167.098.766,892.245.948,bad
2367,265.542.761,-3.522.169.474,2.499.134.918,2.236.328.486,-552.468.893,241.423.252,950.782.318,good
2368,998.112.506,3.265.245.501,-550.219.208,3.850.447.335,-2.117.412.638,-2.179.580.302,1.920.543.098,good
2369,-2.884.036.591,-1.277.148.255,-2.992.238.131,549.696.593,-1.074.680.793,275.379.077,-2.662.369.178,bad
2370,-2.466.337.134,-552.466.138,-815.411.222,-17.917.082,-200.991.908,1.239.895.727,-1.739.287.372,bad
2371,3.494.568.584,290.327.826,-1.889.108.539,-229.751.394,440.206.731,1.006.766.139,171.613.195,good
2372,-3.163.457.171,-658.502.963,393.038.751,-451.928.819,2.241.921.011,951.577.898,-1.207.574.424,good
2373,-3.135.338.541,-915.121.825,1.027.451.113,1.080.452.492,-745.112.598,-1.359.061.267,4.892.835.064,bad
2374,500.269.817,-184.228.235,1.410.976.859,-508.554.725,-1.019.181.254,-1.021.734.105,1.458.007.057,good
2375,-2.785.619.738,-464.113.159,-2.008.147.034,304.050.877,677.976.375,2.741.259.068,666.779.313,bad
2376,-9.004.909,91.777.556,2.490.815.445,24.066.632,251.475.303,-2.726.952.335,3.347.671.368,good
2377,-1.439.118.268,3.081.537.769,-2.515.097.585,352.586.971,544.781.637,1.194.892.768,2.458.897.674,bad
2378,-328.816.985,-1.003.676.689,312.014.723,250.126.809,-367.981.447,1.874.704.901,1.360.220.777,bad
2379,1.282.561.123,-2.076.619.311,-1.310.701.623,2.024.082.402,2.835.660.496,-1.438.247.397,3.368.594.087,good
2380,636.657.511,-2.976.952.351,1.209.688.596,2.626.698.767,1.069.166.666,2.179.049.129,816.618.795,good
2381,-114.110.061,1.529.552.815,-2.779.826.343,2.839.020.611,-969.455.216,2.800.208.784,496.733.684,bad
2382,-2.105.049.328,-3.789.945.038,1.723.246.814,2.780.501.888,2.251.864.247,-4.805.813.898,1.603.692.081,good
2383,-173.678.509,-664.062.081,-65.261.267,197.784.334,520.846.571,-1.465.246.092,-1.933.512.989,bad
2384,153.683.101,-753.644.487,-1.117.696.582,116.356.016,-2.005.551.371,396.156.559,-1.370.209.837,bad
2385,398.830.208,-22.205.631,2.405.669.323,1.496.692.237,-918.728.364,1.891.578.652,1.692.950.967,good
2386,-2.345.629.552,-2.100.760.575,-2.014.975.975,4.195.975.535,-95.551.847,-324.253.551,-3.492.475.258,good
2387,595.694.256,-236.558.273,-364.477.156,422.471.224,1.348.387.535,-3.178.208.236,1.466.224.085,good
2388,-2.830.463.095,-4.371.521.936,-790.808.931,-940.962.021,4.038.744.128,277.429.988,3.816.880.808,bad
2389,1.898.334.792,3.304.017.185,853.349.209,-1.053.534.639,1.109.547.018,-1.162.182.741,3.306.494.887,good
2390,2.639.380.873,-4.289.758.506,-1.613.193.772,638.524.246,3.968.766.656,-291.309.665,1.379.010.378,good
2391,-1.621.693.042,1.436.521.612,-118.410.453,615.448.675,1.507.476.397,-1.091.774.216,-2.195.781.505,good
2392,-23.931.855,-2.699.398.836,-439.148.853,1.795.682.029,-809.629.336,1.501.457.748,-25.762.885,bad
2393,-279.942.712,-169.419.127,1.645.971.316,392.717.642,33.068.203,1.602.245.401,-1.007.957.945,bad
2394,2.279.865.471,-1.200.010.688,-1.934.805.768,1.258.309.911,2.115.293.503,-555.747.311,-209.986.622,good
2395,-579.862.327,-542.274.587,80.046.307,1.112.453.098,1.232.306.496,135.224.557,-123.379.089,good
2396,1.609.033.248,-766.501.159,-2.976.002.286,1.438.299.938,937.640.946,267.792.074,1.283.893.863,good
2397,1.009.229.124,-2.271.038.958,1.235.493.319,1.217.696.936,-300.854.215,1.785.109.572,-1.379.642.791,good
2398,-356.939.951,-727.582.841,55.781.956,712.721.677,291.058.714,-489.938.008,1.716.681.323,bad
2399,-1.684.840.454,-1.540.054.904,-799.606.503,-265.964.055,-1.376.355.632,2.981.055.391,-10.954.011,bad
2400,-2.275.682.195,-861.695.169,-2.764.352.487,183.660.484,1.377.284.872,4.592.999.491,296.232.403,bad
2401,1.108.585.256,-13.756.005,466.650.767,3.027.071.545,-22.722.728,1.619.337.422,673.782.716,good
2402,571.692.635,-863.996.985,-2.875.435.049,2.026.405.836,-4.246.383.911,1.006.723.513,500.029.929,bad
2403,762.876.703,-3.813.836.439,965.450.356,1.192.024.365,-143.097.708,3.406.596.454,837.749.293,good
2404,-2.805.629.847,1.604.092.471,-1.037.827.781,439.611.628,755.683.378,1.448.853.287,1.313.167.949,bad
2405,-805.738.815,-1.773.678.065,2.338.773.638,2.555.178.009,2.975.385.799,-1.211.171.791,-632.589.366,good
2406,-798.666.414,-1.249.804.845,-1.937.469.648,1.538.208.658,323.593.495,2.761.658.179,1.428.455.306,bad
2407,-1.432.623.398,1.027.015.645,200.390.579,3.226.147,953.230.037,432.171.009,-1.979.824.612,good
2408,-1.052.726.769,-1.050.940.457,1.558.789.814,517.760.154,1.836.197.921,-1.717.858.197,3.170.053.076,bad
2409,-802.975.273,-2.869.071.288,-3.641.196.319,-459.120.011,2.093.994.242,4.560.185.443,-420.776.079,bad
2410,-357.997.563,-1.005.693.846,-3.196.444.009,-543.331.418,302.135.306,313.821.902,-2.585.610.903,bad
2411,-49.725.155,-262.867.233,409.739.266,1.096.328.379,1.319.099.504,-2.022.445.643,334.199.466,bad
2412,238.611.367,-795.745.899,-1.422.862.251,1.816.848.624,-516.655.718,40.730.225,1.566.993.752,good
2413,1.934.333.339,-1.807.241.613,-957.443.947,3.846.443.605,1.503.078.232,-1.752.858.433,2.453.387.601,good
2414,145.063.575,-2.420.646.472,-683.822.034,138.306.371,932.613.952,-1.476.399.085,111.191.205,good
2415,-4.784.913.782,-602.437.117,1.405.474.162,52.517.666,562.505.789,162.012.625,-965.657.546,bad
2416,3.684.915.954,-583.134.554,-2.759.251.109,-492.223.669,1.393.307.111,2.431.379.579,3.674.093.248,good
2417,-356.741.809,-673.466.978,-1.597.212.283,1.021.556.162,-1.437.327.751,2.706.066.625,1.025.434.143,bad
2418,-2.471.018.449,-1.339.784.424,469.024.665,888.401.313,2.118.278.484,-761.144.845,6.184.145.401,bad
2419,-5.069.332.059,1.508.076.939,3.386.235.951,-2.239.546.141,-806.686.778,-873.890.934,-2.647.164.684,good
2420,1.192.598.531,-216.391.588,-2.145.719.518,1.618.030.352,-1.897.471.784,31.443.126,-275.670.961,good
2421,-19.697.576,-2.089.268.533,2.437.096.876,2.397.509.542,325.860.192,-408.155.617,-833.616.032,bad
2422,-418.740.875,-367.927.432,27.077.653,1.357.778.226,1.255.594.578,1.224.406.991,-1.611.315.674,good
2423,-710.888.637,-40.224.087,-2.137.088.958,1.190.567.056,-4.327.240.599,-1.039.063.711,-961.324.304,bad
2424,526.586.204,-1.353.058.666,-4.916.783.135,604.765.684,345.793.604,2.741.096.659,-72.155.984,bad
2425,-57.767.571,286.939.811,-648.795.826,196.931.217,-823.967.903,195.576.256,-1.016.481.028,bad
2426,239.307.435,-3.788.679.809,291.985.017,-913.248.924,3.756.461.077,-1.900.294.377,1.401.459.762,good
2427,1.689.363.891,1.291.571.154,-1.602.756.069,879.699.184,657.549.319,-556.177.335,156.466.706,good
2428,2.361.273.812,-4.342.461.422,-101.835.664,809.679.271,-3.099.777.102,738.780.648,-2.960.998.466,bad
2429,2.774.242.571,51.125.344,480.234.344,-255.944.255,2.470.790.564,-541.019.417,5.552.320.288,good
2430,-2.597.630.283,1.468.147.874,-1.363.161.167,-10.959.199,1.649.990.562,32.820.409,-3.626.255.141,good
2431,-1.801.067.254,-542.330.708,135.581.722,2.007.208.031,-2.303.455.952,1.526.522.001,-1.116.251.429,bad
2432,489.720.369,-2.286.110.352,1.189.136.335,1.004.070.064,1.514.245.568,-2.066.796.469,3.752.627.485,good
2433,-2.123.935.198,-154.501.501,1.144.788.284,-171.677.231,1.974.921.934,-539.326.504,-4.011.969.793,good
2434,-1.489.842.526,-1.990.071.707,1.764.041.148,58.046.067,2.079.105.366,359.361.502,-2.150.778.123,good
2435,95.705.077,-2.953.469.052,-1.172.708.707,68.262.349,1.633.734.443,-648.335.654,-575.085.932,good
2436,-100.546.819,-1.182.540.427,-1.238.056.262,553.497.265,136.718.342,1.915.298.727,-1.750.481.108,bad
2437,-48.798.642,-329.461.348,-131.395.994,1.098.101.839,-2.369.237.006,2.252.807.466,-2.281.440.707,bad
2438,-888.894.506,-328.406.226,-1.954.676.321,1.166.088.688,1.860.967.874,1.806.807.734,3.612.383.361,bad
2439,130.018.578,966.377.947,-1.115.658.071,-261.679.777,5.452.808.884,-2.027.521.833,3.436.560.049,bad
2440,679.933.118,-699.464.572,-1.402.164.023,2.125.320.024,-300.245.179,-619.653.114,2.066.437.685,good
2441,904.309.287,341.878.853,-3.797.192.798,16.092.051,-1.465.360.231,965.242.843,251.244.793,bad
2442,-38.432.816,-66.770.252,655.297.197,-15.156.905,1.432.518.508,-3.565.192.323,2.302.842.585,bad
2443,4.160.258.111,-3.529.278.569,-2.283.460.035,3.091.616.102,3.125.334.184,65.801.674,2.943.658.081,good
2444,680.121.049,-82.022.041,-1.178.802.796,-1.815.554.951,1.669.276.788,22.931.037,1.582.143.197,good
2445,543.335.743,-662.709.166,-1.286.173.818,1.118.483.167,123.763.731,1.142.694.301,-64.020.014,bad
2446,-891.030.144,-3.905.946.978,-3.180.118.722,3.674.259.086,-801.723.547,-1.399.609.205,-3.185.962.846,good
2447,-411.482.843,841.067.235,1.045.018.813,13.081.868,3.185.594.591,-1.405.317.497,-3.178.354.998,good
2448,-1.618.332.762,-1.584.919.085,-653.479.821,1.247.518.528,2.652.649.048,131.273.798,2.405.837.627,bad
2449,-1.763.818.073,-88.671.809,-88.733.995,173.953.074,680.226.695,69.054.416,25.054.737,bad
2450,-1.093.181.821,-1.270.403.337,-2.227.954.753,2.431.675.728,-2.664.434.088,499.645.193,-2.516.542.927,bad
2451,-1.066.491.955,-3.484.318.641,4.131.262.237,1.853.618.216,532.620.492,166.123.407,1.014.805.472,good
2452,1.370.642.669,276.336.425,-1.152.380.071,1.415.107.685,310.667.748,712.541.161,-3.799.184.056,bad
2453,-146.301.201,-1.208.780.226,-765.581.148,1.820.029.859,379.777.127,1.309.305.097,-1.499.622.518,good
2454,41.794.936,73.997.648,-1.667.351.936,-2.241.944.472,-152.526.714,543.613.178,322.768.516,good
2455,-2.939.797.228,-7.553.123,160.710.465,-68.115.037,455.248.519,116.590.246,-987.979.264,good
2456,110.317.433,1.129.117.519,-2.447.151.412,-758.535.636,-1.057.971.827,1.036.157.838,420.810.121,good
2457,1.734.415.072,-3.105.091.647,1.051.467.597,2.021.499.643,-912.764.727,3.408.551.735,1.667.884.513,good
2458,-671.331.515,-179.870.876,4.293.285.256,-3.404.414.588,1.265.506.569,372.188.929,-2.680.302.067,good
2459,101.550.103,-302.487.386,-46.176.882,-1.037.176.834,28.679.152,-713.654.382,-662.878.148,good
2460,-1.204.352.153,-2.990.568.901,-2.339.026.072,-1.368.078.407,1.068.931.692,4.645.671.754,-4.559.664.683,bad
2461,-2.416.505.969,-1.296.758.716,233.809.223,2.040.074.303,699.996.599,141.561.914,1.881.426.498,bad
2462,-3.403.688.006,518.918.974,272.046.322,1.992.702.112,428.478.982,-527.755.424,2.557.250.685,bad
2463,680.798.498,-263.145.276,-4.570.984.922,-974.957.669,1.554.182.866,2.144.849.109,1.312.900.519,bad
2464,-1.333.465.549,1.199.731.984,653.672.907,4.696.968.221,-3.447.246.668,897.324.134,-235.095.113,bad
2465,4.401.295.846,-1.742.955.925,-3.533.077.318,148.469.425,141.338.541,2.270.876.204,1.346.573.723,good
2466,-1.192.530.716,48.112.487,572.513.757,2.060.100.713,-1.456.855.317,-186.631.651,2.325.145.985,bad
2467,-1.234.839.187,1.269.943.936,-2.430.020.418,1.796.216.723,-442.039.985,1.229.420.582,1.691.561.916,bad
2468,1.285.556.338,-2.775.153.521,-1.515.626.814,-3.850.311.952,2.635.947.874,1.310.341.833,-481.429.777,good
2469,-3.200.351.198,29.652.066,2.110.724.048,212.119.672,2.858.227.905,-919.558.255,-2.600.424.018,good
2470,2.200.067.918,-409.745.976,2.419.940.671,-189.508.486,2.907.596.425,-1.872.339.123,7.193.374.375,good
2471,360.315.367,-1.634.016.238,579.626.462,1.722.726.658,1.168.219.575,-2.137.873.658,3.422.270.784,good
2472,-1.459.342.705,494.380.297,140.637.473,-924.907.997,-76.601.308,381.185.406,-4.524.693.907,good
2473,-2.783.937.061,327.640.426,-1.307.993.004,1.342.265.744,-581.627.451,-2.282.752.158,-17.094.245,good
2474,530.101.952,-100.025.045,-196.454.894,1.941.316.116,-5.544.052.856,-649.836.871,-25.322.858,bad
2475,-2.779.781.776,-1.456.217.016,-94.383.564,2.319.533.872,1.313.009.926,3.181.730.586,2.724.627.734,bad
2476,-105.490.641,935.525.316,104.637.234,1.202.567.426,2.947.505.168,-1.048.008.873,634.562.579,bad
2477,-2.575.289.541,-1.116.979.177,469.161.969,15.458.691,-703.408.378,2.295.525.452,-156.731.288,good
2478,2.343.654.192,-1.551.587.681,-2.616.260.122,3.158.761.372,269.128.759,-1.172.085.986,313.115.727,good
2479,-2.504.853.191,951.062.124,-80.324.753,330.685.638,1.744.092.032,27.193.171,-2.108.683.493,good
2480,2.658.409.481,-303.198.561,-926.275.724,2.494.971.112,-817.997.527,-686.064.295,555.497.079,good
2481,2.553.493.039,-2.578.302.191,-4.589.803.874,2.582.137.069,1.103.382.875,641.198.167,-2.475.505.407,good
2482,-2.613.014.676,-2.567.692.584,76.152.258,-557.284.977,5.461.424.451,1.441.971.254,5.651.337.095,bad
2483,488.245.711,-1.705.628.633,-499.288.906,3.462.339.191,3.176.222.707,328.081.517,-1.886.004.821,good
2484,-936.654.303,-894.962.693,-127.975.171,-30.785.624,1.135.294.472,2.023.146.261,-468.873.071,good
2485,-118.703.353,-4.292.303.139,4.758.706.617,1.864.557.835,373.003.327,-411.385.401,-2.077.222.982,good
2486,421.805.725,945.836.472,-511.342.429,-1.831.510.374,-3.349.793.257,2.977.045.219,-520.586.153,good
2487,782.753.603,-1.548.182.739,-13.106.364,2.578.625.542,1.320.529.289,1.412.758.227,-1.160.508.623,good
2488,209.488.573,-2.762.798.283,-3.236.776.467,2.443.926.149,935.718.524,-44.279.346,-1.008.545.765,good
2489,-1.027.347.353,-2.343.849.157,-573.102.198,1.662.927.569,1.431.025.167,2.431.659.861,-1.430.272.117,bad
2490,250.472.184,-2.062.609.291,-1.442.699.517,2.931.866.082,370.648.795,-1.920.330.563,-150.774.414,good
2491,1.861.523.223,-1.004.459.833,-1.429.995.863,1.543.427.462,-50.274.064,2.431.354.933,-1.175.107.477,good
2492,1.591.839.118,-2.193.670.013,-794.960.412,2.954.234.792,77.517.918,2.445.459.322,972.018.806,good
2493,-2.458.622.509,1.680.797.594,401.325.431,-613.201.773,81.742.788,-126.755.418,-2.509.839.932,good
2494,-223.413.679,-1.630.199.822,3.310.193.206,-785.073.248,1.086.112.461,695.695.002,-981.738.246,good
2495,-327.374.508,-1.993.498.339,1.036.866.142,2.286.853.185,1.044.849.578,1.652.853.003,-657.783.225,good
2496,1.102.938.842,493.448.412,-2.217.152.716,213.424.498,-101.792.233,518.420.638,-24.607.366,good
2497,-39.119.099,-1.270.441.481,1.704.472.038,2.583.216.518,2.223.766.846,233.357.555,-293.212.613,good
2498,23.950.456,-1.149.281.489,-1.318.802.201,882.540.079,-1.253.160.338,-751.604.427,-955.725.798,good
2499,2.206.875.146,-3.376.332.011,-2.464.371.812,4.378.598.715,-133.067.025,-523.981.846,216.299.444,good
2500,-1.090.286.494,-1.600.119.253,-1.924.990.186,-439.259.063,178.184.109,2.010.855.407,-43.436.179,bad
2501,-723.895.744,15.364.291,113.696.216,1.913.581.808,2.379.033.927,-3.915.368.074,3.291.172.928,good
2502,-92.167.685,-21.130.757,-4.685.316.882,127.743.416,447.844.462,7.237.836.684,-2.094.162.271,bad
2503,1.176.184.455,384.985.062,-54.683.432,117.878.962,565.895.687,-4.605.001.995,3.991.795.286,bad
2504,2.132.662.992,1.124.636.085,-2.382.123.278,153.045.178,387.624.821,309.316.251,-297.218.327,good
2505,-463.865.894,-1.130.486.543,1.682.585.819,1.537.865.135,192.124.972,192.287.085,-2.125.177.292,good
2506,-357.050.899,-1.659.402.134,-1.586.974.339,505.157.446,237.909.631,-816.176.439,-304.780.024,good
2507,-5.611.043.907,-344.937.211,4.425.245.767,-2.054.761.838,1.751.755.765,-490.479.762,-1.793.667.469,good
2508,-2.655.812.995,-911.279.554,-466.663.009,693.188.769,-1.791.322.329,944.974.323,-1.174.097.332,bad
2509,2.018.030.556,3.970.603,-2.599.518.994,869.264.332,53.678.583,243.393.778,-19.350.131,bad
2510,9.401.731,-160.035.076,24.909.399,-424.131.638,162.625.739,483.365.208,1.652.870.764,good
2511,-26.840.721,1.001.699.504,-1.179.219.147,2.432.863.067,-1.850.115.282,-1.418.941.213,-60.371.554,good
2512,-1.796.717.649,370.379.372,-1.056.926.599,1.806.020.006,2.434.843.756,-36.004.304,-2.920.077.461,good
2513,-819.739.245,293.157.997,-518.940.749,-219.806.674,-1.076.781.783,-1.118.543.976,-41.491.395,good
2514,4.799.683.427,531.144.241,694.587.168,-2.083.764.859,776.768.417,1.091.540.038,2.277.992.284,good
2515,2.224.915.764,-2.243.440.034,864.767.382,1.071.480.331,1.449.131.363,-1.468.721.719,2.603.010.577,good
2516,-2.215.619.512,-1.845.715.102,-694.316.243,1.961.763.547,-309.642.377,1.288.382.494,3.104.203.842,bad
2517,175.437.139,-227.971.866,1.438.185.035,437.639.513,1.095.016.883,642.008.128,-2.876.186.916,good
2518,-692.935.618,-2.237.699.999,1.850.456.609,406.105.142,1.278.278.876,688.251.027,-3.715.416.136,good
2519,913.955.462,132.108.304,-545.792.261,1.225.552.855,1.425.379.009,-1.919.352.275,774.225.621,good
2520,564.069.996,-2.779.779.628,1.799.935.614,3.533.534.541,-2.435.675.397,-2.803.409.257,-137.216.003,bad
2521,-194.125.614,-2.591.382.245,1.739.772.955,1.185.667.671,-463.973.261,2.365.753.537,863.598.197,good
2522,-1.227.687.228,-4.359.102.264,2.598.589.383,1.632.285.479,1.045.957.924,2.204.078.144,-441.318.604,good
2523,170.866.787,1.587.034.344,1.347.942.903,-1.124.513.763,1.008.527.592,-1.916.662.617,2.598.926.778,good
2524,-1.112.851.311,-152.395.051,-9.340.797,1.346.304.515,1.854.070.422,413.477.094,-2.068.531.974,good
2525,-4.192.515.459,-1.530.624.498,3.641.226.851,287.239.229,1.922.838.428,340.670.904,300.425.348,bad
2526,-609.944.389,-988.635.869,2.076.575.524,70.695.058,1.883.389.005,38.200.651,-352.838.956,good
2527,-270.247.824,-1.201.557.207,-5.180.526.893,1.296.239.624,-2.091.876.125,3.152.911.478,-1.750.078.184,bad
2528,1.198.297.206,-612.413.596,-2.704.168.006,1.728.538.891,-1.299.401.919,1.253.162.051,-181.845.168,bad
2529,-1.710.179.364,-2.076.294.518,-316.081.411,614.102.457,-164.999.986,247.669.176,-3.178.046.326,bad
2530,-4.325.542.938,-3.766.593.485,-1.239.514.709,-527.513.095,410.762.043,4.800.387.599,3.527.774.311,bad
2531,1.578.301.559,-642.760.665,-1.199.464.079,2.911.085.532,-804.543.096,-249.473.766,86.587.971,bad
2532,4.842.414.285,-2.034.349.183,17.371.396,-1.651.683.273,5.288.582.252,-967.864.853,3.253.430.006,good
2533,-254.893.522,573.118.763,1.310.391.555,1.439.321.216,-1.119.379.123,-2.191.951.197,3.220.223.691,bad
2534,-485.154.828,-3.655.567.471,164.345.751,965.474.236,3.748.739.545,-2.989.809.288,508.298.972,good
2535,195.053.866,-1.695.443.319,-1.539.490.605,777.202.672,394.889.798,3.100.585.133,-566.140.943,bad
2536,-248.328.218,-3.789.381.244,1.049.442.199,271.034.095,5.363.391.435,-3.462.028.922,2.419.515.928,good
2537,-1.221.691.504,636.403.333,749.295.519,1.578.727.393,-1.034.503.505,-1.293.479.446,503.952.801,bad
2538,-2.714.426.225,182.274.024,1.789.000.951,1.744.089.308,-591.669.267,-1.557.821.829,3.048.116.271,bad
2539,1.381.919.678,-68.233.401,-1.678.157.759,1.332.051.208,-739.108.639,3.178.150.967,1.430.354.006,good
2540,203.273.772,-3.998.189.557,-2.210.895.446,-426.173.737,6.017.561.245,-4.891.249,335.747.973,good
2541,-3.824.104.179,-653.506.493,2.017.481.112,-650.462.417,-267.903.409,-3.810.386.842,-293.752.288,good
2542,1.706.310.497,234.132.391,-1.848.696.182,1.285.824.473,2.152.655.411,-857.855.694,97.422.529,bad
2543,-2.565.115.444,681.125.179,-1.382.973.169,1.984.381.104,581.844.095,518.650.946,358.466.427,good
2544,-1.175.667.766,-2.708.999.953,-3.212.248.447,-1.219.733.525,5.598.023.401,2.871.732.403,3.030.761.684,bad
2545,1.141.353.623,-514.794.974,628.424.312,-2.070.047.317,2.503.568.766,-48.229.007,3.831.942.983,good
2546,-2.652.331.828,-2.056.501.587,-3.380.336.254,-133.385.428,-1.322.326.087,3.999.945.773,-3.233.639.308,bad
2547,-88.364.354,-2.100.074.914,433.754.914,206.786.267,1.211.305.461,1.620.981.049,-7.459.267,good
2548,2.955.488.307,-4.794.292.941,-2.326.891.314,213.314.067,231.307.647,-152.155.817,397.002.044,good
2549,715.230.375,2.700.856.817,-2.780.518,-1.566.420.399,1.023.802.344,191.156.274,186.521.133,good
2550,-2.037.481.546,1.275.922.244,-1.686.684.409,2.481.397.674,-557.053.766,64.853.414,2.008.481.011,bad
2551,1.098.862.291,-2.975.829.642,2.120.282.984,1.266.468.965,-108.439.791,2.233.274.673,1.006.506.949,good
2552,-1.709.227.456,-737.193.159,-1.044.534.588,-1.041.300.347,-1.081.846.787,423.957.035,-3.317.759.208,bad
2553,-2.835.516.578,-867.083.239,2.437.212.368,-415.044.495,602.102.347,318.597.284,-17.377.166,good
2554,951.522.478,21.543.597,299.989.389,1.231.860.692,329.394.604,1.395.421.983,-810.135.014,good
2555,1.475.108.046,-194.034.315,-681.668.915,111.114.488,3.745.267.025,-1.557.817.483,4.619.550.751,good
2556,-1.409.139.284,1.655.285.609,2.133.490.176,-1.030.945.562,1.777.878.928,-3.494.212.458,2.776.502.937,good
2557,316.217.777,-175.565.612,1.080.172.568,611.900.155,331.599.645,1.238.095.908,-1.800.893.018,good
2558,350.762.735,-2.071.580.562,-1.287.068.252,2.275.608.317,-2.036.599.748,-752.516.495,-2.343.132.224,bad
2559,2.929.287.512,-2.568.074.529,-1.074.782.027,1.763.330.692,1.688.493.676,-63.325.091,404.877.488,good
2560,-2.002.108.913,914.239.187,-1.212.154.567,377.442.914,-412.552.323,1.292.215.365,390.464.668,bad
2561,-635.269.137,-2.671.118.033,-1.942.208.154,779.932.972,2.417.681.304,2.099.233.772,2.095.870.617,bad
2562,-861.441.629,1.029.468.622,-1.903.931.675,756.098.657,-2.540.331.356,-222.188.134,-87.134.055,good
2563,2.287.517.152,-2.170.972.617,-93.173.308,3.136.561.456,3.497.371.377,-2.396.689.105,581.808.577,good
2564,-948.975.305,-238.338.866,-2.755.569.467,160.832.139,2.190.631.414,2.730.760.791,721.337.439,bad
2565,-3.360.412.933,-84.755.932,3.071.638.235,1.879.767.159,547.999.975,170.468.918,841.770.053,bad
2566,-1.367.623.069,816.662.354,-2.342.179.735,38.995.248,1.312.044.294,2.836.942.995,3.066.305,bad
2567,-3.807.731.577,2.309.319.428,-220.367.471,-2.592.027.885,670.451.836,3.466.577.803,-21.751.811,bad
2568,-31.008.666,-311.053.023,1.375.175.592,3.121.556.993,-720.217.161,1.921.215.423,-127.366.597,bad
2569,-1.784.265.103,-1.154.856.415,1.044.179.197,-8.128.297,217.163.657,2.529.716.301,-964.945.495,bad
2570,-2.283.838.535,-2.140.859.089,-296.269.568,1.104.195.856,-237.363.527,2.152.588.317,2.533.952.804,bad
2571,-115.949.722,578.189.907,-5.250.343.895,227.138.288,-162.154.062,3.126.640.488,-783.602.296,bad
2572,-517.698.601,-804.642.323,2.329.574.511,922.023.512,-154.363.549,759.058.707,1.168.981.716,good
2573,-525.793.753,-2.056.071.225,-1.940.514.084,-1.300.388.493,3.853.714.603,-492.697.731,459.635.612,bad
2574,1.723.037.415,-4.678.187.882,2.900.593.902,1.718.069.415,254.127.137,3.167.806.994,1.379.090.343,good
2575,2.180.186.681,-1.511.394.091,-2.686.207.738,-239.666.042,1.132.262.039,2.050.630.541,-228.236.467,good
2576,-456.959.686,2.009.685.275,831.393.634,1.586.271.445,1.624.118.839,-3.525.516.563,1.983.392.167,good
